timestamp,c,h,l,o
2020-11-16T22:00:00Z,16720.572994935064,16731.7347157383,16658.353588902093,16691.277685758912
2020-11-16T23:00:00Z,16709.612283879444,16759.95274294867,16689.21791308501,16706.83007939572
2020-11-17T00:00:00Z,16758.854917500466,16803.321928556295,16700.900927395527,16700.900927395527
2020-11-17T01:00:00Z,16679.653655943108,16787.32975569296,16679.653655943108,16787.32975569296
2020-11-17T02:00:00Z,16632.016519651606,16717.16703397419,16632.016519651606,16678.284801541384
2020-11-17T03:00:00Z,16605.882807767794,16672.95654178875,16593.06250433358,16659.21188450591
2020-11-17T04:00:00Z,16640.027412313808,16640.027412313808,16564.544992042578,16564.544992042578
2020-11-17T05:00:00Z,16596.80882313229,16651.621326202032,16576.01468706375,16651.621326202032
2020-11-17T06:00:00Z,16636.655741795945,16639.07379780301,16575.228596547535,16603.0495950217
2020-11-17T07:00:00Z,16724.73789115888,16741.54802258048,16606.509107712038,16617.949201524276
2020-11-17T08:00:00Z,16692.943987117254,16759.396590900957,16686.409593386976,16732.488923516852
2020-11-17T09:00:00Z,16645.925460908737,16728.36068281931,16605.631684150514,16673.463313720044
2020-11-17T10:00:00Z,16738.896046369537,16738.896046369537,16615.09386553909,16642.85864763718
2020-11-17T11:00:00Z,16936.253261762708,16944.7730961332,16740.16357828133,16754.12346540115
2020-11-17T12:00:00Z,17032.111826585042,17050.98950694014,16958.02389405953,16984.21756271783
2020-11-17T13:00:00Z,16967.481040748862,17058.000658763678,16956.60674543345,17058.000658763678
2020-11-17T14:00:00Z,17129.9415979102,17129.9415979102,16940.848795181773,16940.848795181773
2020-11-17T15:00:00Z,17307.521691147904,17307.521691147904,17115.434005078816,17146.72022754467
2020-11-17T16:00:00Z,17496.68830253695,17524.98416242656,17271.89212796838,17304.72304853111
2020-11-17T17:00:00Z,17764.488394381795,17774.449080268514,17436.74318537546,17622.903795286125
2020-11-17T18:00:00Z,17676.564737204528,17782.620109398613,17634.67534104404,17782.620109398613
2020-11-17T19:00:00Z,17680.816246810373,17689.194715279715,17507.375698483345,17617.493710953306
2020-11-17T20:00:00Z,17673.140166144778,17684.59604050809,17614.96735967527,17671.52047991832
2020-11-17T21:00:00Z,17557.91832706486,17660.714303589077,17521.607191112766,17660.714303589077
2020-11-17T22:00:00Z,17585.437693626336,17602.864935560054,17474.40389405151,17602.864935560054
2020-11-17T23:00:00Z,17667.381593434377,17673.946688742504,17583.911670395828,17583.911670395828
2020-11-18T00:00:00Z,17679.910711313947,17790.92998548364,17621.11963699641,17622.876858423624
2020-11-18T01:00:00Z,17699.365798810588,17722.127252744984,17598.564857756617,17672.125770931783
2020-11-18T02:00:00Z,17653.210043770996,17704.66733545456,17653.210043770996,17677.104775005522
2020-11-18T03:00:00Z,17912.95734025416,17912.95734025416,17638.17514499085,17674.299609220703
2020-11-18T04:00:00Z,18393.585252100722,18393.585252100722,17951.328118318568,17986.879772160137
2020-11-18T05:00:00Z,17599.77291107249,18312.588368809593,17597.118571504805,18312.588368809593
2020-11-18T06:00:00Z,17757.740643205285,17819.34562862188,17601.565668074236,17601.565668074236
